Name,Title,Pad Layout,Difficulty,Rating,Arrow Count,Jump Count,Step Count,Duration,Stop Count,Min BPM,Max BPM,Absolute Rotation,Net Rotation,Absolute Distance,Jumps In Place,Jumps Half In Place,Jumps Full Move,Steps Repeated,Steps Marching,Steps Move,Mean Seconds Before: Jumps In Place,StdDev Seconds Before: Jumps In Place,Mean Beats Before: Jumps In Place,StdDev Beats Before: Jumps In Place,Mean Seconds Before: Jumps Half In Place,StdDev Seconds Before: Jumps Half In Place,Mean Beats Before: Jumps Half In Place,StdDev Beats Before: Jumps Half In Place,Mean Seconds Before: Jumps Full Move,StdDev Seconds Before: Jumps Full Move,Mean Beats Before: Jumps Full Move,StdDev Beats Before: Jumps Full Move,Mean Seconds Before: Steps Repeated,StdDev Seconds Before: Steps Repeated,Mean Beats Before: Steps Repeated,StdDev Beats Before: Steps Repeated,Mean Seconds Before: Steps Marching,StdDev Seconds Before: Steps Marching,Mean Beats Before: Steps Marching,StdDev Beats Before: Steps Marching,Mean Seconds Before: Steps Move,StdDev Seconds Before: Steps Move,Mean Beats Before: Steps Move,StdDev Beats Before: Steps Move
Flow(Jammin' Ragga Mix),Scotty D. revisits U1,dance-single,Medium,5,234,18,216,88.71000000000001,1,70.0,140.0,118.59512267301447,-2.3561944901923404,108.8944443027286,4,7,7,17,70,111,0.5357142857142838,0.185576872239526,1.25,0.4330127018922193,0.4285714285714291,2.588017403511887E-15,1.0,0.0,0.4897959183673447,0.14996875976223653,1.1428571428571428,0.34992710611188266,0.47058823529411575,0.23886841014372995,1.0196078431372544,0.631116742722788,0.3683061224489801,0.2718972637458619,0.7547619047619049,0.40406803270821795,0.4350064350064351,0.47685438431242355,0.9489489489489489,0.6186915027475066
Flow(Jammin' Ragga Mix),Scotty D. revisits U1,dance-double,Easy,3,102,4,98,86.99571428571429,1,70.0,140.0,60.47565858160351,-8.63937979737193,227.23683756792855,0,1,3,21,19,54,0.0,0.0,0.0,0.0,0.8571428571428577,0.0,2.0,0.0,0.8571428571428518,3.3497350114090054E-15,2.0,0.0,0.5306122448979597,0.29291224682463923,1.2142857142857142,0.6998542122237652,0.5864661654135345,0.20673273811830922,1.368421052631579,0.4823763889427201,0.8173809523809522,0.9043644803831494,1.6759259259259258,1.0591637486077796
Flow(Jammin' Ragga Mix),Scotty D. revisits U1,dance-double,Medium,5,231,21,210,88.71000000000001,1,70.0,140.0,138.37197381255487,-43.19689898685964,375.57848645571494,8,13,0,16,48,125,0.4285714285714275,4.84444134347038E-15,1.0,0.0,0.42857142857142705,5.213958230181552E-15,1.0,0.0,0.0,0.0,0.0,0.0,0.43749999999999845,0.1181138978153847,0.9791666666666661,0.3429599506907163,0.36160714285714285,0.16713767416668926,0.8229166666666666,0.3899879063889413,0.41710857142857194,0.47671941737894663,0.8586666666666667,0.593316853703726
Flow(Jammin' Ragga Mix),Scotty D. revisits U1,dance-double,Hard,8,317,54,263,88.71000000000001,1,70.0,140.0,200.29523479535985,-25.596388837719147,477.9173558384531,5,39,10,36,41,132,0.3857142857142858,0.1603567451474568,0.9,0.37416573867739417,0.3754578754578761,0.15321254489644193,0.8418803418803418,0.3677697431444474,0.4285714285714263,5.684352728092186E-15,1.0,0.0,0.4226190476190472,0.8057290258136098,0.8194444444444444,0.9140324102096057,0.2891986062717764,0.14816046376965378,0.6666666666666665,0.3496998325703475,0.2878463203463206,0.19524594769966203,0.6085858585858587,0.2633113151554817
COME CLEAN,NM featuring Susan Z,dance-single,Hard,7,283,42,241,88.30042443255215,0,108.38,108.38,190.85175370557948,-5.497787143782144,119.5010460205269,2,32,8,16,41,142,0.3460047979331975,0.06920095958664518,0.625,0.125,0.45413129728732227,0.17722193827748325,0.8203125,0.3201218945085606,0.43250599741649864,0.10803996352645366,0.78125,0.19515618744994995,0.49305683705480724,0.19553863527848678,0.890625,0.3532079548580411,0.3240630302593856,0.16061883328357396,0.5853658536585366,0.29013115252122734,0.33528352250428206,0.22056654299017353,0.6056338028169014,0.3984166988212506
COME CLEAN,NM featuring Susan Z,dance-single,Beginner,1,83,8,75,88.5772282708987,0,108.38,108.38,25.918139392115805,3.9269908169872414,26.870057685088792,3,1,4,30,11,26,0.9226794611551957,0.2609731615377544,1.6666666666666667,0.4714045207910317,1.6608230300793494,0.0,3.0,0.0,1.1072153533862341,3.552713678800501E-15,2.0,0.0,0.7935043365934672,0.36953283621518346,1.4333333333333333,0.6674994798166926,1.3588552064285602,0.4329375732041777,2.4545454545454546,0.7820295697311479,1.4478970005819976,0.4874099596402783,2.6153846153846154,0.880424857096892
COME CLEAN,NM featuring Susan Z,dance-single,Easy,3,126,11,115,88.5772282708987,0,108.38,108.38,58.90486225480864,10.210176124166827,56.56854249492373,4,5,2,44,13,47,0.8304115150396765,0.27680383834655764,1.5,0.5,0.7750507473703635,0.44288614135449295,1.4,0.8,0.8304115150396747,0.27680383834656297,1.5,0.5,0.6920095958663957,0.23971915587316142,1.25,0.4330127018922193,0.63877808849206,0.19974232088620308,1.1538461538461537,0.36080121229411,0.8009642981942966,0.40871209431505795,1.446808510638298,0.7382702796977646
COME CLEAN,NM featuring Susan Z,dance-single,Medium,5,188,33,155,88.5772282708987,0,108.38,108.38,112.31193736583496,-5.497787143782139,90.50966799187822,3,23,7,18,28,76,0.36907178446207684,0.1304865807688797,0.6666666666666666,0.23570226039551584,0.5536076766931167,0.14137864507895737,1.0,0.2553769592276246,0.4349774602588778,0.13698237478466266,0.7857142857142857,0.24743582965269675,0.5228516946546106,0.0869910538459181,0.9444444444444444,0.15713484026367724,0.4250916088893579,0.138048401560999,0.7678571428571429,0.24936142935301683,0.49897534017734874,0.24189508528452994,0.9013157894736842,0.4369431557189567
COME CLEAN,NM featuring Susan Z,dance-double,Easy,3,108,14,94,88.5772282708987,0,108.38,108.38,100.50293719583406,18.38590831253797,142.66269379132893,1,11,2,7,9,64,1.1072153533862341,0.0,2.0,0.0,1.0065594121693044,0.6600451466357753,1.8181818181818181,1.192261549873091,1.6608230300793525,0.5536076766931148,3.0,1.0,0.632694487649274,0.1937223322265462,1.1428571428571428,0.34992710611188266,0.9841914252322075,0.6273014102962147,1.7777777777777777,1.1331154474650633,0.8477117549363351,0.3910772705569751,1.53125,0.7064159097160821
COME CLEAN,NM featuring Susan Z,dance-double,Medium,6,168,22,146,88.5772282708987,0,108.38,108.38,127.2841056435102,15.244315658948157,288.0567409942857,0,11,11,6,24,94,0.0,0.0,0.0,0.0,0.7045915885185127,0.24655569556105678,1.2727272727272727,0.4453617714151233,0.7297555738227453,0.5045363365204102,1.3181818181818181,0.9113608025347008,0.46133973057759964,0.13048658076887595,0.8333333333333334,0.23570226039551584,0.48440671710647676,0.11985957793658028,0.875,0.21650635094610965,0.4917685213178216,0.1348476771075998,0.8882978723404256,0.24357985408202784
COME CLEAN,NM featuring Susan Z,dance-double,Hard,7,230,38,192,88.5772282708987,0,108.38,108.38,158.60486597285404,18.385908312537957,404.715908770053,2,23,13,18,30,106,0.27680383834655586,3.552713678800501E-15,0.5,0.0,0.4091882827731733,0.16056625316871856,0.7391304347826086,0.2900361753070942,0.5323150737433836,0.5029743698532669,0.9615384615384616,0.908539370078286,0.38444977548133136,0.13494132354358374,0.6944444444444444,0.24374901076089228,0.369071784462078,0.13048658076887734,0.6666666666666666,0.23570226039551576,0.37081268910576676,0.15624558560534693,0.6698113207547169,0.2822316094651242
A Brighter Day,NAOKI feat. Aleisha G,dance-single,Beginner,2,80,3,77,91.35542809953613,0,154.999,155.172,25.918139392115805,-5.497787143782138,40.30508652763317,1,2,0,34,21,19,1.5483970864328143,0.0,4.0,0.0,1.5483970864328143,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.3661819499315813,2.5454409623264063,3.5294117647058822,6.576407449975774,1.4009306972487383,0.45452193722679796,3.619047619047619,1.1741740958036144,1.3854079194398878,0.3156271646879142,3.5789473684210527,0.8153649149910351
A Brighter Day,NAOKI feat. Aleisha G,dance-single,Easy,5,137,3,134,91.35542809953613,0,154.999,155.172,58.90486225480862,-2.3561944901923404,82.02438661763958,2,0,1,40,35,56,0.7741985432164,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7741985432164071,0.0,2.0,0.0,0.9483500580573316,2.3399223271846865,2.45,6.045452836636807,0.6193588345731275,0.3837669346710423,1.6,0.991391518451284,0.49769906349626186,0.17487362555344063,1.2857142857142858,0.45175395145262537
A Brighter Day,NAOKI feat. Aleisha G,dance-single,Medium,7,201,11,190,91.35542809953613,0,154.999,155.172,106.02875205865537,13.351768777756622,113.13708498984792,1,9,1,36,53,90,0.7741985432164,0.0,2.0,0.0,0.38709927160820473,3.349581687916012E-15,1.0,0.0,0.5806489074123107,0.0,1.5,0.0,0.3978520291528757,0.23236905598287963,1.0277777777777777,0.6002828551381754,0.39440303144986805,0.15021616427618958,1.0188679245283019,0.38805592077741763,0.5849308293711672,1.5848739154463036,1.511111111111111,4.094696961910191
A Brighter Day,NAOKI feat. Aleisha G,dance-single,Hard,9,228,16,212,89.226382105691,0,154.999,155.172,113.8827336926298,0.7853981633974492,120.20815280171345,5,9,2,37,59,100,0.3870992716082043,3.4809519910092386E-15,1.0,0.0,0.3440882414295139,0.08046626939042369,0.8888888888888888,0.20786985482077452,0.48387408951025535,0.09677481790205533,1.25,0.25,0.39756141408410156,0.2059474805856238,1.027027027027027,0.5320275590548519,0.30508671406409327,0.11242602541576066,0.788135593220339,0.2904320252236238,0.32226014361382965,0.13689789137115413,0.8325,0.35365060441062446
